deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
220692,Dal Barreto,UNIÃO,BA,1701004.86
178871,Evair Vieira de Melo,REPUBLICANOS,ES,1700302.25
92102,Leur Lomanto Júnior,UNIÃO,BA,1699499.75
204512,Delegado Marcelo Freitas,UNIÃO,MG,1699499.09
220696,Ivoneide Caetano,PT,BA,1699085.51
220529,Gilson Daniel,PODE,ES,1698698.41
204351,Dr. Luiz Ovando,PP,MS,1698436.88
220656,Fernanda Pessoa,PSD,CE,1696167.70
74428,Mendonça Filho,PL,PE,1695535.62
74467,Damião Feliciano,UNIÃO,PB,1694163.07
160758,Domingos Sávio,PL,MG,1693703.55
204457,Juninho do Pneu,PSDB,RJ,1691590.79
160642,Pastor Eurico,PSDB,PE,1691284.31
220599,Marcelo Crivella,REPUBLICANOS,RJ,1691237.69
204518,Dr. Frederico,PL,MG,1687899.97
160610,Valmir Assunção,PT,BA,1686572.63
220543,Ricardo Ayres,REPUBLICANOS,TO,1686040.68
220624,Robinson Faria,PP,RN,1684386.43
150418,Márcio Marinho,REPUBLICANOS,BA,1683127.46
220586,Rafael Brito,MDB,AL,1680679.94
220668,Maria Arraes,PSB,PE,1679228.73
74156,Leonardo Monteiro,PT,MG,1677734.11
178895,Misael Varella,PSD,MG,1677487.81
220690,Capitão Alden,PL,BA,1677123.11
160601,Pr. Marco Feliciano,PL,SP,1676162.53
220559,Julia Zanatta,PL,SC,1676076.69
220699,Castro Neto,MDB,PI,1672868.64
80815,Leo Prates,REPUBLICANOS,BA,1672511.77
220626,Rafael Simoes,UNIÃO,MG,1670806.47
204445,Fernando Mineiro,PT,RN,1669261.14
74371,Rubens Otoni,PT,GO,1668944.66
178858,Mário Negromonte Jr.,PSB,BA,1664367.51
220545,Filipe Martins,PL,TO,1663898.66
220620,Rosângela Reis,PL,MG,1662615.81
204501,Alencar Santana,PT,SP,1661752.94
220547,Marcos Pollon,PL,MS,1660036.37
220603,Dani Cunha,PL,RJ,1659318.79
66828,Fausto Pinato,UNIÃO,SP,1659045.90
220615,Pastor Henrique Vieira,PSOL,RJ,1655748.54
204480,Rogério Correia,PT,MG,1654476.19
220530,Messias Donato,UNIÃO,ES,1651603.02
220607,Max Lemos,UNIÃO,RJ,1651068.16
204410,Luisa Canziani,UNIÃO,PR,1650547.47
66385,Julio Arcoverde,PP,PI,1649631.69
74270,Gilberto Nascimento,PODE,SP,1649046.75
204368,Fabio Schiochet,UNIÃO,SC,1648784.91
178986,Nilto Tatto,PT,SP,1648611.53
